bus_id,zone,voltage,lon,lat,bundesland,border_warning
3371,tennet,380,11.362610,48.852065,Bayern,
3370,tennet,220,11.362610,48.852065,Bayern,
3372,tennet,380,11.501312,48.793295,Bayern,
3373,tennet,220,11.840515,48.869232,Bayern,
3374,tennet,380,11.778717,48.546615,Bayern,
3375,tennet,380,11.260986,48.348948,Bayern,
3376,tennet,380,11.354370,48.277709,Bayern,
3377,tennet,380,11.589203,48.266741,Bayern,
3378,tennet,380,11.679840,48.322474,Bayern,
3379,tennet,380,11.825409,48.314255,Bayern,
3380,tennet,220,12.172852,48.638354,Bayern,
3381,tennet,380,12.292328,48.659222,Bayern,
3382,tennet,220,12.627411,48.200880,Bayern,
3391,tennet,380,11.979218,47.941187,Bayern,
3394,tennet,380,12.741394,48.801436,Bayern,
3396,tennet,380,13.035278,48.677360,Bayern,
3395,tennet,220,13.035278,48.677360,Bayern,
3397,tennet,220,12.929535,48.332517,Bayern,
3566,transnetbw,380,7.712402,48.103763,Baden-Württemberg,
3565,transnetbw,220,7.712402,48.103763,Baden-Württemberg,
3571,transnetbw,220,7.877197,48.499318,Baden-Württemberg,
3572,transnetbw,220,8.022766,48.643798,Baden-Württemberg,
3573,transnetbw,220,8.243866,48.763431,Baden-Württemberg,
3574,transnetbw,380,8.386688,48.075326,Baden-Württemberg,
3595,transnetbw,220,7.823639,47.575599,Baden-Württemberg,offshore_or_outside_polygon
3596,transnetbw,380,7.934875,47.651513,Baden-Württemberg,
3598,transnetbw,380,7.933502,47.598755,Baden-Württemberg,
3597,transnetbw,220,7.933502,47.598755,Baden-Württemberg,
3600,transnetbw,380,8.149109,47.706989,Baden-Württemberg,
3599,transnetbw,220,8.149109,47.706989,Baden-Württemberg,
3602,transnetbw,380,8.205414,47.649662,Baden-Württemberg,
3601,transnetbw,220,8.205414,47.649662,Baden-Württemberg,
3740,transnetbw,220,8.606415,48.886392,Baden-Württemberg,
3741,transnetbw,380,8.747864,48.516604,Baden-Württemberg,
3743,transnetbw,380,8.925018,48.806863,Baden-Württemberg,
3742,transnetbw,220,8.925018,48.806863,Baden-Württemberg,
3745,transnetbw,380,9.133759,48.821333,Baden-Württemberg,
3744,transnetbw,220,9.133759,48.821333,Baden-Württemberg,
3746,transnetbw,380,8.526764,48.079914,Baden-Württemberg,
3747,transnetbw,380,8.860474,48.244797,Baden-Württemberg,
3748,transnetbw,380,9.228516,48.772483,Baden-Württemberg,
3749,transnetbw,380,9.328766,48.736267,Baden-Württemberg,
3750,transnetbw,380,9.299927,48.671013,Baden-Württemberg,
3751,transnetbw,380,9.279327,48.592051,Baden-Württemberg,
3752,transnetbw,380,9.243622,48.485666,Baden-Württemberg,
3753,transnetbw,380,9.573212,48.622016,Baden-Württemberg,
3754,transnetbw,380,9.396057,48.037692,Baden-Württemberg,
3755,transnetbw,380,9.599304,48.398209,Baden-Württemberg,
3759,transnetbw,220,8.791809,47.790094,Baden-Württemberg,
3760,transnetbw,220,8.960724,47.811310,Baden-Württemberg,
3778,transnetbw,380,9.606171,47.709762,Baden-Württemberg,
3779,transnetbw,380,9.732513,47.623752,Baden-Württemberg,
3792,transnetbw,380,10.095062,48.793295,Baden-Württemberg,
3793,transnetbw,380,10.170593,48.494768,Baden-Württemberg,
3794,transnetbw,380,10.204926,48.622924,Baden-Württemberg,
3795,tennet,380,10.420532,48.564794,Bayern,
3796,transnetbw,380,9.843750,48.243882,Baden-Württemberg,
3798,transnetbw,380,10.062103,48.199964,Baden-Württemberg,
3797,transnetbw,220,10.062103,48.199964,Baden-Württemberg,
3799,tennet,380,10.829773,48.628370,Bayern,
3800,tennet,380,10.828400,48.500228,Bayern,
3801,tennet,380,10.859985,48.424644,Bayern,
3803,tennet,380,10.781708,48.315168,Bayern,
3802,tennet,220,10.781708,48.315168,Bayern,
3804,tennet,380,11.182709,48.078079,Bayern,
3805,tennet,220,10.191193,47.952225,Bayern,
3806,tennet,380,10.347748,47.742094,Bayern,
3807,tennet,220,10.263977,47.632082,Bayern,
3809,tennet,220,11.122284,47.528329,Bayern,
4548,50hertz,380,11.637268,52.274040,Sachsen-Anhalt,
4547,50hertz,220,11.637268,52.274040,Sachsen-Anhalt,
4549,50hertz,220,11.652374,52.141074,Sachsen-Anhalt,
4550,50hertz,380,11.641388,51.910391,Sachsen-Anhalt,
4551,50hertz,220,12.499695,52.404932,Brandenburg,
4552,50hertz,380,12.260742,51.740636,Sachsen-Anhalt,
4553,50hertz,380,11.454620,51.606077,Sachsen-Anhalt,
4554,50hertz,380,11.807556,51.415482,Sachsen-Anhalt,
4555,50hertz,380,11.942139,51.395778,Sachsen-Anhalt,
4557,50hertz,380,11.453247,50.981776,Thüringen,
4556,50hertz,220,11.453247,50.981776,Thüringen,
4558,50hertz,380,11.732025,50.877911,Thüringen,
4559,50hertz,380,12.382965,51.268789,Sachsen,
4560,50hertz,380,12.484589,51.316881,Sachsen,
4562,50hertz,380,12.078094,50.767734,Thüringen,
4561,50hertz,220,12.078094,50.767734,Thüringen,
4563,50hertz,220,12.532654,50.793783,Sachsen,
4565,50hertz,380,13.307190,52.228641,Brandenburg,
4564,50hertz,220,13.307190,52.228641,Brandenburg,
4566,50hertz,380,12.994080,51.814558,Sachsen-Anhalt,
4567,50hertz,220,13.509064,52.470233,Berlin,
4568,50hertz,380,13.914185,51.894292,Brandenburg,
4569,50hertz,220,12.683716,51.309155,Sachsen,
4571,50hertz,380,12.694702,51.116455,Sachsen,
4570,50hertz,220,12.694702,51.116455,Sachsen,
4573,50hertz,380,12.801819,50.851041,Sachsen,
4572,50hertz,220,12.801819,50.851041,Sachsen,
4574,50hertz,380,13.128662,51.024985,Sachsen,
4575,50hertz,220,13.039398,50.849307,Sachsen,
4577,50hertz,380,13.447266,51.299711,Sachsen,
4576,50hertz,220,13.447266,51.299711,Sachsen,
4578,50hertz,220,13.581848,51.094036,Sachsen,
4579,50hertz,380,13.815308,51.014619,Sachsen,
4580,50hertz,220,11.348877,50.668613,Thüringen,
4581,50hertz,220,11.569977,50.681667,Thüringen,
4582,50hertz,220,11.531525,50.658167,Thüringen,
4584,50hertz,380,11.722412,50.582365,Thüringen,
4583,50hertz,220,11.722412,50.582365,Thüringen,
4585,tennet,380,11.780090,50.271788,Bayern,
4586,50hertz,220,12.337646,50.594571,Sachsen,
4589,tennet,220,11.306305,49.454735,Bayern,
4590,tennet,380,12.049255,49.688955,Bayern,
4592,tennet,380,12.031403,49.350177,Bayern,
4591,tennet,220,12.031403,49.350177,Bayern,
4593,tennet,380,12.034149,48.992834,Bayern,
4594,50hertz,380,12.786713,50.613746,Sachsen,
4595,50hertz,380,12.973480,50.606774,Sachsen,
4596,50hertz,380,12.978973,50.578877,Sachsen,
4619,50hertz,380,14.615936,52.125058,Brandenburg,
4620,50hertz,380,14.397583,51.795027,Brandenburg,
4621,50hertz,380,14.595337,51.730431,Brandenburg,
4624,50hertz,380,14.205322,51.501049,Sachsen,
4625,50hertz,380,14.183350,51.187951,Sachsen,
4626,50hertz,380,14.441528,51.532669,Sachsen,
4627,50hertz,380,14.478607,51.364064,Sachsen,
4628,50hertz,380,14.672241,51.293700,Sachsen,
4629,50hertz,380,14.809570,51.146617,Sachsen,
4666,amprion,380,6.584930,51.245584,Nordrhein-Westfalen,
4665,amprion,220,6.584930,51.245584,Nordrhein-Westfalen,
4682,amprion,220,6.267700,51.618869,Nordrhein-Westfalen,
4685,amprion,380,6.615143,51.630805,Nordrhein-Westfalen,
4684,amprion,220,6.615143,51.630805,Nordrhein-Westfalen,
4688,amprion,380,6.042480,50.817215,Nordrhein-Westfalen,
4689,amprion,380,6.234741,50.915156,Nordrhein-Westfalen,
4690,amprion,380,6.277313,50.831963,Nordrhein-Westfalen,
4691,amprion,380,6.591797,51.455718,Nordrhein-Westfalen,
4693,amprion,380,6.366577,51.222368,Nordrhein-Westfalen,
4692,amprion,220,6.366577,51.222368,Nordrhein-Westfalen,
4695,amprion,380,6.600037,51.346912,Nordrhein-Westfalen,
4694,amprion,220,6.600037,51.346912,Nordrhein-Westfalen,
4697,amprion,380,6.712646,51.550605,Nordrhein-Westfalen,
4696,amprion,220,6.712646,51.550605,Nordrhein-Westfalen,
4698,amprion,380,6.834869,51.537794,Nordrhein-Westfalen,
4700,amprion,380,6.849976,51.459141,Nordrhein-Westfalen,
4699,amprion,220,6.849976,51.459141,Nordrhein-Westfalen,
4701,amprion,380,6.981812,51.584750,Nordrhein-Westfalen,
4702,amprion,380,6.936493,51.410342,Nordrhein-Westfalen,
4703,amprion,220,7.023010,51.495920,Nordrhein-Westfalen,
4704,amprion,380,6.817017,51.330612,Nordrhein-Westfalen,
4705,amprion,380,6.628876,51.113869,Nordrhein-Westfalen,
4706,amprion,380,6.550598,51.061249,Nordrhein-Westfalen,
4707,amprion,380,6.545105,50.996472,Nordrhein-Westfalen,
4709,amprion,380,6.465454,50.831096,Nordrhein-Westfalen,
4710,amprion,380,6.513519,50.934200,Nordrhein-Westfalen,
